name	user	n_edits	n_minor_edits	first_edit	last_edit	added_bytes
AL-LAD	Magioladitis	1	1	2013-12-26, 00:31	2013-12-26, 00:31	0
AL-LAD	Psychonaut25	1	1	2013-09-26, 10:40	2013-09-26, 10:40	0
AL-LAD	GregorB	1	1	2013-01-10, 21:34	2013-01-10, 21:34	0
AL-LAD	Klemen Kocjancic	1	1	2012-01-07, 10:34	2012-01-07, 10:34	43
AL-LAD	Download	1	1	2009-02-18, 03:44	2009-02-18, 03:44	3
AL-LAD	Merenta	1	1	2007-10-17, 15:51	2007-10-17, 15:51	55
AL-LAD	ChemNerd	1	0	2016-06-13, 12:36	2016-06-13, 12:36	0
AL-LAD	分液漏斗	1	0	2016-01-22, 14:45	2016-01-22, 14:45	32
AL-LAD	Jugalord	1	0	2014-11-24, 18:25	2014-11-24, 18:25	0
AL-LAD	Yikrazuul	1	0	2014-05-01, 18:03	2014-05-01, 18:03	1
AL-LAD	Flyer22 Reborn	1	0	2013-09-09, 17:18	2013-09-09, 17:18	0
AL-LAD	C6541	1	0	2012-11-27, 17:16	2012-11-27, 17:16	28
AL-LAD	Лорд Алекс	1	0	2012-02-27, 16:59	2012-02-27, 16:59	0
AL-LAD	AKRider1	1	0	2011-03-04, 02:36	2011-03-04, 02:36	50
AL-LAD	Tillbury	1	0	2009-11-30, 04:38	2009-11-30, 04:38	79
AL-LAD	Beeswaxcandle	1	0	2008-12-08, 07:36	2008-12-08, 07:36	0
AL-LAD	Ccroberts	1	0	2007-07-18, 01:39	2007-07-18, 01:39	23
AL-LAD	Guitarmankev1	1	0	2007-04-04, 02:43	2007-04-04, 02:43	0
AL-LAD	The Right Honourable	1	0	2007-03-11, 01:09	2007-03-11, 01:09	4
AL-LAD	BorisTM	1	0	2007-01-10, 10:35	2007-01-10, 10:35	1095
AL-LAD	Dugwiki	1	0	2006-07-05, 19:38	2006-07-05, 19:38	36
LSM-775	Meodipt	5	0	2006-07-19, 09:23	2010-06-07, 08:02	619
LSM-775	Aethyta	4	1	2015-11-18, 02:14	2015-12-10, 21:07	580
LSM-775	Enix150	2	2	2011-01-30, 02:06	2011-03-22, 14:11	8
LSM-775	Beetstra	2	0	2010-11-01, 13:52	2010-12-02, 14:37	489
LSM-775	DePiep	1	1	2016-04-02, 19:44	2016-04-02, 19:44	0
LSM-775	Psychonaut25	1	1	2013-10-12, 12:02	2013-10-12, 12:02	6
LSM-775	حسن علي البط	1	1	2010-04-02, 08:39	2010-04-02, 08:39	25
LSM-775	ChickenSoup1212	1	0	2015-11-26, 14:12	2015-11-26, 14:12	0
LSM-775	Medgirl131	1	0	2015-01-04, 08:14	2015-01-04, 08:14	91
LSM-775	ChemNerd	1	0	2013-07-09, 13:32	2013-07-09, 13:32	0
LSM-775	Harbinary	1	0	2009-12-24, 16:18	2009-12-24, 16:18	0
LSM-775	P-kun80	1	0	2008-12-25, 17:02	2008-12-25, 17:02	64
LSM-775	Cacycle	1	0	2006-07-23, 22:27	2006-07-23, 22:27	17
LSM-775	Asparagus	1	0	2006-07-21, 03:39	2006-07-21, 03:39	36
4-AcO-DALT	Aethyta	2	1	2014-07-04, 01:16	2015-04-23, 05:42	30
4-AcO-DALT	Psychonaut25	2	1	2014-01-18, 06:33	2014-01-31, 16:30	105
4-AcO-DALT	Edgar181	2	0	2014-11-03, 12:51	2014-11-03, 12:52	51
4-AcO-DALT	DePiep	1	1	2015-07-07, 19:24	2015-07-07, 19:24	0
4-AcO-DALT	Destruktor5000	1	0	2015-02-05, 10:31	2015-02-05, 10:31	11
4-AcO-DALT	Project Osprey	1	0	2014-12-11, 13:15	2014-12-11, 13:15	13
4-AcO-DALT	Meodipt	1	0	2013-07-20, 05:21	2013-07-20, 05:21	1268
4-Acetoxy-DiPT	FractalRipple	7	0	2007-04-30, 00:38	2007-04-30, 01:46	743
4-Acetoxy-DiPT	David Hedlund	6	2	2013-09-06, 11:19	2013-09-25, 15:38	590
4-Acetoxy-DiPT	Haberdasher7	5	1	2011-12-23, 02:21	2011-12-23, 02:28	457
4-Acetoxy-DiPT	Edgar181	4	1	2008-01-24, 20:34	2015-04-04, 22:50	19
4-Acetoxy-DiPT	Astavats	3	1	2007-11-09, 02:42	2008-01-23, 08:50	40
4-Acetoxy-DiPT	Morninggloryseed	3	0	2005-11-16, 03:33	2005-11-23, 02:19	227
4-Acetoxy-DiPT	Kai445	2	2	2011-12-10, 04:43	2011-12-10, 05:22	0
4-Acetoxy-DiPT	Adaviri	2	2	2010-09-29, 05:51	2010-09-29, 05:56	20
4-Acetoxy-DiPT	Harbinary	2	2	2009-01-11, 08:14	2009-01-11, 08:16	0
4-Acetoxy-DiPT	Heah	2	2	2005-05-21, 06:52	2005-12-17, 17:00	65
4-Acetoxy-DiPT	Enix150	2	1	2011-11-29, 10:57	2011-11-29, 11:29	51
4-Acetoxy-DiPT	Sirwikisalot	2	1	2008-09-02, 03:27	2008-09-02, 03:28	56
4-Acetoxy-DiPT	Beetstra	2	0	2009-12-17, 11:41	2010-11-28, 13:23	380
4-Acetoxy-DiPT	Meodipt	2	0	2007-04-26, 11:58	2009-12-23, 03:17	436
4-Acetoxy-DiPT	DePiep	1	1	2015-07-07, 14:57	2015-07-07, 14:57	0
4-Acetoxy-DiPT	ChrisGualtieri	1	1	2013-12-12, 23:13	2013-12-12, 23:13	0
4-Acetoxy-DiPT	SamChem7	1	1	2011-08-28, 15:39	2011-08-28, 15:39	8
4-Acetoxy-DiPT	Drbreznjev	1	1	2009-02-18, 17:18	2009-02-18, 17:18	0
4-Acetoxy-DiPT	Isilanes	1	1	2007-05-30, 15:38	2007-05-30, 15:38	42
4-Acetoxy-DiPT	Karelj	1	1	2006-04-26, 20:09	2006-04-26, 20:09	18
4-Acetoxy-DiPT	Tv316	1	1	2006-03-10, 16:27	2006-03-10, 16:27	0
4-Acetoxy-DiPT	Peaceoutside	1	0	2016-06-18, 12:11	2016-06-18, 12:11	0
4-Acetoxy-DiPT	Funandtrvl	1	0	2013-06-22, 01:22	2013-06-22, 01:22	15
4-Acetoxy-DiPT	C6541	1	0	2012-11-27, 17:17	2012-11-27, 17:17	28
4-Acetoxy-DiPT	ChemNerd	1	0	2012-03-19, 21:37	2012-03-19, 21:37	33
4-Acetoxy-DiPT	Bunbunrun	1	0	2010-12-26, 08:43	2010-12-26, 08:43	47
4-Acetoxy-DiPT	Reedy	1	0	2009-02-03, 23:41	2009-02-03, 23:41	15
4-Acetoxy-DiPT	Cacycle	1	0	2008-12-06, 05:11	2008-12-06, 05:11	0
4-Acetoxy-DiPT	Jpoelma13	1	0	2008-09-02, 03:29	2008-09-02, 03:29	0
4-Acetoxy-DiPT	Bryan Derksen	1	0	2007-04-16, 06:48	2007-04-16, 06:48	12
4-Acetoxy-DiPT	Sharavanabhava	1	0	2005-06-07, 04:18	2005-06-07, 04:18	0
4-Acetoxy-DiPT	Physchim62	1	0	2005-05-22, 00:15	2005-05-22, 00:15	0
4-AcO-MET	Ohnodoctor	5	0	2011-12-18, 16:40	2012-07-26, 19:15	2148
4-AcO-MET	Godsy	2	1	2016-07-16, 00:53	2016-07-16, 04:19	20
4-AcO-MET	ChemNerd	2	1	2012-03-19, 21:38	2012-03-19, 21:38	6
4-AcO-MET	Tom.Reding	1	1	2016-06-29, 13:57	2016-06-29, 13:57	0
4-AcO-MET	DePiep	1	1	2015-07-07, 19:24	2015-07-07, 19:24	0
4-AcO-MET	Velella	1	1	2013-01-11, 20:17	2013-01-11, 20:17	0
4-AcO-MET	Logan	1	1	2011-12-18, 16:51	2011-12-18, 16:51	32
4-AcO-MET	Aethyta	1	0	2015-04-23, 05:43	2015-04-23, 05:43	28
4-AcO-MET	Saehry	1	0	2013-05-28, 01:28	2013-05-28, 01:28	0
4-AcO-MET	David Hedlund	1	0	2013-05-21, 20:00	2013-05-21, 20:00	0
4-AcO-MET	NotWith	1	0	2012-04-18, 12:20	2012-04-18, 12:20	16
4-AcO-MET	The chemistds	1	0	2012-03-06, 21:00	2012-03-06, 21:00	326
4-AcO-MET	Edgar181	1	0	2011-12-20, 14:04	2011-12-20, 14:04	0
4-HO-DET	David Hedlund	5	3	2013-09-06, 11:27	2013-09-25, 15:39	425
4-HO-DET	Heah	3	2	2005-04-26, 22:18	2006-04-06, 01:15	58
4-HO-DET	Cacycle	3	2	2004-11-04, 00:09	2004-11-07, 03:05	1760
4-HO-DET	Beetstra	3	0	2009-12-17, 12:18	2011-02-11, 09:36	337
4-HO-DET	Meodipt	3	0	2007-04-25, 09:23	2007-04-26, 13:27	35
4-HO-DET	DePiep	2	2	2015-06-18, 22:02	2016-03-09, 21:35	0
4-HO-DET	Turkeyphant	2	1	2007-04-09, 20:12	2007-04-09, 20:13	8
4-HO-DET	Aethyta	2	0	2015-04-23, 05:43	2015-10-11, 22:36	0
4-HO-DET	Astavats	2	0	2007-12-28, 11:27	2007-12-28, 11:29	42
4-HO-DET	Murple	2	0	2007-01-22, 22:39	2008-04-01, 20:14	8
4-HO-DET	Morninggloryseed	2	0	2005-11-16, 03:01	2005-11-16, 03:02	427
4-HO-DET	Chris the speller	1	1	2012-10-29, 03:34	2012-10-29, 03:34	1
4-HO-DET	Woohookitty	1	1	2011-11-29, 11:42	2011-11-29, 11:42	15
4-HO-DET	حسن علي البط	1	1	2010-04-15, 13:38	2010-04-15, 13:38	21
4-HO-DET	Zacce	1	1	2008-10-30, 14:09	2008-10-30, 14:09	6
4-HO-DET	Derek.cashman	1	1	2007-08-14, 03:50	2007-08-14, 03:50	0
4-HO-DET	Saxbryn	1	1	2006-11-30, 15:21	2006-11-30, 15:21	0
4-HO-DET	Kremit	1	1	2005-07-27, 06:18	2005-07-27, 06:18	0
4-HO-DET	Jag123	1	1	2005-02-14, 23:03	2005-02-14, 23:03	5
4-HO-DET	Frietjes	1	0	2015-10-12, 17:53	2015-10-12, 17:53	0
4-HO-DET	Funandtrvl	1	0	2013-06-22, 01:49	2013-06-22, 01:49	72
4-HO-DET	BD2412	1	0	2012-10-19, 00:36	2012-10-19, 00:36	9
4-HO-DET	Tillbury	1	0	2009-11-30, 05:10	2009-11-30, 05:10	82
4-HO-DET	Surachit	1	0	2007-08-03, 20:27	2007-08-03, 20:27	0
4-HO-DET	OAC	1	0	2007-07-28, 22:15	2007-07-28, 22:15	0
4-HO-DET	Sbrools	1	0	2007-05-11, 21:18	2007-05-11, 21:18	34
4-HO-DET	X1987x	1	0	2007-04-03, 16:13	2007-04-03, 16:13	10
4-HO-DET	WLU	1	0	2007-03-27, 11:48	2007-03-27, 11:48	16
4-HO-DET	Sharavanabhava	1	0	2005-06-07, 04:19	2005-06-07, 04:19	0
4-HO-DET	Physchim62	1	0	2005-05-22, 00:16	2005-05-22, 00:16	8
4-HO-DPT	Use the force	3	0	2007-06-09, 00:36	2007-06-09, 13:01	1424
4-HO-DPT	Beetstra	2	0	2009-12-17, 12:18	2010-11-28, 13:50	370
4-HO-DPT	DePiep	1	1	2016-03-09, 21:37	2016-03-09, 21:37	0
4-HO-DPT	R'n'B	1	1	2010-04-16, 18:23	2010-04-16, 18:23	9
4-HO-DPT	حسن علي البط	1	1	2010-04-15, 13:37	2010-04-15, 13:37	21
4-HO-DPT	Sohelpme	1	1	2007-06-09, 02:04	2007-06-09, 02:04	0
4-HO-DPT	Aethyta	1	0	2015-04-23, 05:44	2015-04-23, 05:44	28
4-HO-DPT	JimJoiner	1	0	2014-02-04, 18:20	2014-02-04, 18:20	0
4-HO-DPT	Funandtrvl	1	0	2013-06-22, 01:25	2013-06-22, 01:25	76
4-HO-DPT	Meodipt	1	0	2012-05-29, 22:16	2012-05-29, 22:16	10
4-HO-DPT	Tillbury	1	0	2009-11-30, 05:31	2009-11-30, 05:31	82
4-HO-DPT	Cacycle	1	0	2008-12-06, 05:09	2008-12-06, 05:09	1
4-HO-DPT	Danelo	1	0	2007-09-09, 22:55	2007-09-09, 22:55	354
4-HO-DPT	Mark PEA	1	0	2007-06-09, 12:14	2007-06-09, 12:14	0
4-HO-MiPT	Exercisephys	9	1	2012-12-27, 20:59	2013-05-23, 03:21	137
4-HO-MiPT	Cacycle	6	2	2007-04-15, 18:38	2010-04-06, 11:58	0
4-HO-MiPT	Dan D. Ric	5	4	2012-02-21, 04:14	2012-02-21, 04:35	0
4-HO-MiPT	David Hedlund	5	3	2013-09-06, 11:25	2013-09-25, 15:40	308
4-HO-MiPT	Edgar181	4	1	2007-01-26, 21:17	2015-09-12, 14:21	240
4-HO-MiPT	Rabidz77	3	0	2015-10-22, 14:35	2015-10-22, 14:37	8
4-HO-MiPT	Aidepikiw07	3	0	2012-04-11, 21:41	2012-04-11, 21:55	108
4-HO-MiPT	Beetstra	3	0	2010-10-15, 14:16	2011-01-17, 13:49	18
4-HO-MiPT	Mild Bill Hiccup	2	2	2012-04-09, 21:26	2012-08-29, 11:56	9
4-HO-MiPT	Anypodetos	2	1	2016-02-15, 08:26	2016-02-15, 08:27	0
4-HO-MiPT	Heah	2	1	2005-12-17, 17:05	2006-01-16, 06:35	62
4-HO-MiPT	Aethyta	2	0	2016-01-06, 04:55	2016-02-15, 00:20	0
4-HO-MiPT	Liamrowley8	2	0	2015-01-25, 22:01	2015-01-25, 22:02	0
4-HO-MiPT	Meodipt	2	0	2007-04-25, 09:25	2007-04-26, 14:01	0
4-HO-MiPT	DePiep	1	1	2016-03-09, 21:37	2016-03-09, 21:37	0
4-HO-MiPT	Widr	1	1	2015-01-25, 22:03	2015-01-25, 22:03	0
4-HO-MiPT	Bender235	1	1	2012-06-04, 21:29	2012-06-04, 21:29	0
4-HO-MiPT	Materialscientist	1	1	2012-02-21, 08:19	2012-02-21, 08:19	1011
4-HO-MiPT	Wtmitchell	1	1	2012-02-21, 04:39	2012-02-21, 04:39	0
4-HO-MiPT	RA0808	1	1	2012-02-21, 04:01	2012-02-21, 04:01	0
4-HO-MiPT	R'n'B	1	1	2010-04-16, 18:35	2010-04-16, 18:35	0
4-HO-MiPT	حسن علي البط	1	1	2010-04-06, 22:22	2010-04-06, 22:22	0
4-HO-MiPT	Fences and windows	1	1	2009-03-23, 00:38	2009-03-23, 00:38	0
4-HO-MiPT	Enochlau	1	1	2005-11-01, 05:35	2005-11-01, 05:35	28
4-HO-MiPT	Wavelength	1	0	2016-04-17, 17:43	2016-04-17, 17:43	0
4-HO-MiPT	SarahEmm	1	0	2016-02-14, 22:03	2016-02-14, 22:03	25
4-HO-MiPT	Mplanine	1	0	2014-10-23, 03:20	2014-10-23, 03:20	2
4-HO-MiPT	CrimsonKefka	1	0	2014-04-30, 01:52	2014-04-30, 01:52	0
4-HO-MiPT	Funandtrvl	1	0	2013-06-22, 01:55	2013-06-22, 01:55	0
4-HO-MiPT	Nikos 1993	1	0	2013-06-04, 13:17	2013-06-04, 13:17	8
4-HO-MiPT	Nirmos	1	0	2012-12-25, 06:15	2012-12-25, 06:15	1
4-HO-MiPT	C6541	1	0	2012-11-27, 17:17	2012-11-27, 17:17	28
4-HO-MiPT	Moe Epsilon	1	0	2012-11-21, 06:13	2012-11-21, 06:13	0
4-HO-MiPT	Ohnodoctor	1	0	2012-09-29, 20:03	2012-09-29, 20:03	95
4-HO-MiPT	Allethrin	1	0	2011-01-16, 20:56	2011-01-16, 20:56	0
4-HO-MiPT	Tillbury	1	0	2009-11-30, 05:37	2009-11-30, 05:37	0
4-HO-MiPT	Harbinary	1	0	2009-11-28, 15:36	2009-11-28, 15:36	12
4-HO-MiPT	Use the force	1	0	2007-06-10, 13:17	2007-06-10, 13:17	0
4-HO-MiPT	Sbrools	1	0	2007-05-11, 21:54	2007-05-11, 21:54	50
4-HO-MiPT	Beerios	1	0	2006-11-27, 18:09	2006-11-27, 18:09	87
4-HO-MiPT	Morninggloryseed	1	0	2005-11-27, 13:20	2005-11-27, 13:20	1607
4-HO-MPT	DePiep	2	2	2015-07-07, 15:54	2015-12-18, 01:47	0
4-HO-MPT	Psychonaut25	2	2	2013-09-29, 05:17	2013-09-29, 05:18	24
4-HO-MPT	ChemSpiderMan	2	2	2008-01-23, 06:16	2008-01-23, 06:17	13
4-HO-MPT	ChemNerd	2	0	2016-06-13, 12:27	2016-06-13, 12:28	0
4-HO-MPT	Chzz	2	0	2011-08-21, 02:34	2011-08-21, 03:26	0
4-HO-MPT	Beetstra	2	0	2009-12-17, 12:20	2010-11-28, 13:53	339
4-HO-MPT	Use the force	2	0	2007-06-09, 13:40	2007-06-09, 18:25	1495
4-HO-MPT	John of Reading	1	1	2011-10-31, 15:19	2011-10-31, 15:19	1
4-HO-MPT	Colonies Chris	1	1	2011-02-03, 23:39	2011-02-03, 23:39	0
4-HO-MPT	Ospalh	1	1	2010-07-06, 10:11	2010-07-06, 10:11	0
4-HO-MPT	R'n'B	1	1	2010-04-16, 18:23	2010-04-16, 18:23	9
4-HO-MPT	Jwy	1	1	2007-06-09, 16:59	2007-06-09, 16:59	18
4-HO-MPT	Project Osprey	1	0	2015-08-27, 12:51	2015-08-27, 12:51	141
4-HO-MPT	Aethyta	1	0	2015-04-23, 05:44	2015-04-23, 05:44	28
4-HO-MPT	Tillbury	1	0	2009-11-30, 05:38	2009-11-30, 05:38	82
4-HO-MPT	Chem-awb	1	0	2009-01-23, 03:08	2009-01-23, 03:08	0
4-HO-MPT	Cacycle	1	0	2008-12-06, 05:08	2008-12-06, 05:08	0
4-HO-MPT	Edgar181	1	0	2008-11-01, 02:30	2008-11-01, 02:30	0
5-MeO-DALT	Aethyta	7	1	2015-07-24, 02:32	2016-01-09, 05:41	3209
5-MeO-DALT	Edgar181	5	2	2007-07-08, 12:24	2015-01-05, 17:41	0
5-MeO-DALT	Morninggloryseed	5	2	2005-11-16, 01:49	2006-11-28, 19:47	2154
5-MeO-DALT	Kst447	4	0	2011-01-31, 04:05	2011-01-31, 04:13	479
5-MeO-DALT	David Hedlund	3	0	2011-09-13, 18:15	2013-09-25, 15:41	367
5-MeO-DALT	Astavats	2	2	2008-05-06, 06:11	2008-05-06, 06:12	46
5-MeO-DALT	C6541	2	1	2012-11-27, 17:17	2012-11-27, 18:34	30
5-MeO-DALT	Cacycle	2	1	2007-12-18, 14:00	2008-12-06, 05:30	19
5-MeO-DALT	Pumpmeup	2	0	2011-02-04, 17:33	2011-02-04, 17:34	0
5-MeO-DALT	Beetstra	2	0	2009-12-17, 12:44	2010-11-28, 15:36	0
5-MeO-DALT	KAtremer	2	0	2007-12-18, 13:17	2007-12-20, 08:02	0
5-MeO-DALT	Meodipt	2	0	2007-04-26, 12:12	2007-04-26, 12:13	0
5-MeO-DALT	Bryan Derksen	2	0	2007-01-13, 03:56	2007-01-13, 03:59	0
5-MeO-DALT	Heah	2	0	2005-05-21, 06:50	2006-04-06, 01:18	22
5-MeO-DALT	Tom.Reding	1	1	2016-05-17, 19:19	2016-05-17, 19:19	88
5-MeO-DALT	DePiep	1	1	2016-04-02, 13:12	2016-04-02, 13:12	0
5-MeO-DALT	Rjwilmsi	1	1	2015-12-12, 14:49	2015-12-12, 14:49	31
5-MeO-DALT	Flyer22 Reborn	1	1	2015-10-14, 04:43	2015-10-14, 04:43	0
5-MeO-DALT	Mashaunix	1	1	2015-02-17, 00:29	2015-02-17, 00:29	17
5-MeO-DALT	Psychonaut25	1	1	2014-01-31, 16:29	2014-01-31, 16:29	56
5-MeO-DALT	SamChem7	1	1	2011-08-28, 16:09	2011-08-28, 16:09	8
5-MeO-DALT	Timan123	1	1	2011-04-18, 15:46	2011-04-18, 15:46	0
5-MeO-DALT	حسن علي البط	1	1	2010-04-15, 14:21	2010-04-15, 14:21	27
5-MeO-DALT	Anaxial	1	1	2010-03-13, 21:49	2010-03-13, 21:49	0
5-MeO-DALT	Harbinary	1	1	2009-01-19, 16:38	2009-01-19, 16:38	0
5-MeO-DALT	Tonyrex	1	1	2008-12-05, 03:18	2008-12-05, 03:18	12
5-MeO-DALT	Saxbryn	1	1	2006-11-30, 15:30	2006-11-30, 15:30	0
5-MeO-DALT	PXE-M0F	1	1	2006-09-24, 16:21	2006-09-24, 16:21	0
5-MeO-DALT	Marudubshinki	1	1	2006-07-12, 17:41	2006-07-12, 17:41	0
5-MeO-DALT	Tuankiet65	1	0	2016-01-06, 10:09	2016-01-06, 10:09	0
5-MeO-DALT	Testem	1	0	2015-12-23, 16:15	2015-12-23, 16:15	620
5-MeO-DALT	Jeff Janes	1	0	2015-05-04, 19:39	2015-05-04, 19:39	0
5-MeO-DALT	Funandtrvl	1	0	2013-06-22, 01:28	2013-06-22, 01:28	0
5-MeO-DALT	Metalhead94	1	0	2012-10-09, 22:52	2012-10-09, 22:52	12
5-MeO-DALT	DBigXray	1	0	2012-06-10, 21:47	2012-06-10, 21:47	0
5-MeO-DALT	Regenspaziergang	1	0	2011-12-15, 12:37	2011-12-15, 12:37	0
5-MeO-DALT	DrBurningBunny	1	0	2011-04-14, 03:08	2011-04-14, 03:08	0
5-MeO-DALT	Dru of Id	1	0	2011-03-16, 06:43	2011-03-16, 06:43	0
5-MeO-DALT	Valerophenone	1	0	2011-02-24, 05:29	2011-02-24, 05:29	239
5-MeO-DALT	JzG	1	0	2009-10-10, 17:18	2009-10-10, 17:18	0
5-MeO-DALT	Vanished 45kd09la13	1	0	2009-08-05, 22:31	2009-08-05, 22:31	0
5-MeO-DALT	Zachorious	1	0	2009-05-08, 05:09	2009-05-08, 05:09	0
5-MeO-DALT	WriterHound	1	0	2007-09-17, 14:28	2007-09-17, 14:28	0
5-MeO-DALT	Ccroberts	1	0	2007-07-26, 00:52	2007-07-26, 00:52	0
5-MeO-DALT	Pax:Vobiscum	1	0	2007-03-23, 18:13	2007-03-23, 18:13	0
5-MeO-DALT	Mark PEA	1	0	2007-02-24, 13:57	2007-02-24, 13:57	0
5-MeO-DALT	DJrex	1	0	2006-11-30, 22:10	2006-11-30, 22:10	0
5-MeO-DALT	Sharavanabhava	1	0	2005-06-07, 04:21	2005-06-07, 04:21	0
5-MeO-DALT	Physchim62	1	0	2005-05-22, 00:17	2005-05-22, 00:17	0
5-MeO-DiPT	Cacycle	11	6	2004-11-06, 13:50	2007-05-11, 17:12	84
5-MeO-DiPT	David Hedlund	9	5	2012-02-23, 04:55	2013-09-25, 15:42	1374
5-MeO-DiPT	Miserlou	9	0	2006-12-19, 03:14	2007-04-09, 21:59	509
5-MeO-DiPT	Aethyta	5	1	2015-06-19, 21:31	2016-02-05, 19:19	379
5-MeO-DiPT	Mjb	5	1	2004-07-06, 03:47	2007-04-10, 01:21	505
5-MeO-DiPT	Meodipt	5	0	2006-04-23, 09:24	2008-08-08, 04:03	36
5-MeO-DiPT	Guitarmankev1	4	1	2007-03-19, 20:35	2007-03-19, 20:37	56
5-MeO-DiPT	Beetstra	4	0	2007-02-24, 16:58	2011-08-06, 14:57	396
5-MeO-DiPT	Turkeyphant	3	3	2007-05-09, 11:56	2007-05-11, 00:26	0
5-MeO-DiPT	Heah	3	3	2005-04-25, 02:45	2005-04-26, 22:16	15
5-MeO-DiPT	Dcirovic	2	2	2016-05-14, 04:27	2016-05-14, 21:49	2
5-MeO-DiPT	Mark Arsten	2	2	2012-01-29, 23:51	2013-10-31, 00:37	0
5-MeO-DiPT	Gustavb	2	2	2005-11-13, 03:02	2005-11-20, 19:27	30
5-MeO-DiPT	Aenar	2	2	2004-10-25, 22:52	2005-04-21, 12:21	43
5-MeO-DiPT	Jeff Janes	2	1	2015-05-01, 22:04	2015-05-01, 22:11	3
5-MeO-DiPT	Ddhix 2002	2	1	2004-07-15, 20:14	2004-09-30, 03:26	2631
5-MeO-DiPT	The Right Honourable	2	0	2007-02-07, 09:28	2007-07-01, 07:35	25
5-MeO-DiPT	Arcadian	2	0	2006-06-25, 04:30	2007-03-19, 15:01	8
5-MeO-DiPT	Marin50	2	0	2005-12-07, 19:32	2005-12-07, 19:32	79
5-MeO-DiPT	Materialscientist	1	1	2016-07-20, 12:02	2016-07-20, 12:02	0
5-MeO-DiPT	Tom.Reding	1	1	2016-05-17, 18:35	2016-05-17, 18:35	2
5-MeO-DiPT	Chikinn	1	1	2016-04-19, 04:41	2016-04-19, 04:41	0
5-MeO-DiPT	DePiep	1	1	2016-04-02, 13:12	2016-04-02, 13:12	0
5-MeO-DiPT	Trappist the monk	1	1	2014-01-08, 18:03	2014-01-08, 18:03	0
5-MeO-DiPT	Capitalismojo	1	1	2013-06-12, 19:47	2013-06-12, 19:47	0
5-MeO-DiPT	Xezbeth	1	1	2012-07-07, 09:53	2012-07-07, 09:53	0
5-MeO-DiPT	TeXnocrat	1	1	2012-01-18, 03:28	2012-01-18, 03:28	33
5-MeO-DiPT	Coffee joe	1	1	2011-02-11, 13:35	2011-02-11, 13:35	0
